Name,Grade,Stars,Type,Logs,Unnamed: 7,Crag
"Left  Rockfax DescriptionThis much-photographed wall features some brilliant climbs crossing the flint knobs and breaks that cut across the face. The climbing tends to involve technical moves on vertical rock - more sustained than cruxy. That being said, there are still some very hard moves! Many of the routes are more than 25m long, so take great care when lowering off. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block.","Left  Rockfax DescriptionThis much-photographed wall features some brilliant climbs crossing the flint knobs and breaks that cut across the face. The climbing tends to involve technical moves on vertical rock - more sustained than cruxy. That being said, there are still some very hard moves! Many of the routes are more than 25m long, so take great care when lowering off. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block.","Left  Rockfax DescriptionThis much-photographed wall features some brilliant climbs crossing the flint knobs and breaks that cut across the face. The climbing tends to involve technical moves on vertical rock - more sustained than cruxy. That being said, there are still some very hard moves! Many of the routes are more than 25m long, so take great care when lowering off. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block.","Left  Rockfax DescriptionThis much-photographed wall features some brilliant climbs crossing the flint knobs and breaks that cut across the face. The climbing tends to involve technical moves on vertical rock - more sustained than cruxy. That being said, there are still some very hard moves! Many of the routes are more than 25m long, so take great care when lowering off. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block.","Left  Rockfax DescriptionThis much-photographed wall features some brilliant climbs crossing the flint knobs and breaks that cut across the face. The climbing tends to involve technical moves on vertical rock - more sustained than cruxy. That being said, there are still some very hard moves! Many of the routes are more than 25m long, so take great care when lowering off. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block.","Left  Rockfax DescriptionThis much-photographed wall features some brilliant climbs crossing the flint knobs and breaks that cut across the face. The climbing tends to involve technical moves on vertical rock - more sustained than cruxy. That being said, there are still some very hard moves! Many of the routes are more than 25m long, so take great care when lowering off. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block.",Battleship Back Cliff
Pol Pot Had the Lot,6b,-,G,29,R,Battleship Back Cliff
Sex Cauldron,7b,-,G,5,R,Battleship Back Cliff
Even Better than the Beatles,7b,1,G,30,R,Battleship Back Cliff
Arc of a Fridge,7b,1,G,18,R,Battleship Back Cliff
Dreams Burn Down,7a+,2,G,61,R,Battleship Back Cliff
Nihil,7b,2,G,94,R,Battleship Back Cliff
No Man is an Island,6c,3,G,438,R,Battleship Back Cliff
Always Have the Edge,6c,2,G,210,R,Battleship Back Cliff
Pump Hitler,7a+,3,G,320,R,Battleship Back Cliff
Buoys will be Buoys,6b+,3,G,895,R,Battleship Back Cliff
Shape Shifter,7c,1,G,47,R,Battleship Back Cliff
Jurassic Shift,7a,2,G,352,R,Battleship Back Cliff
The Fun Factory,7b,2,G,41,R,Battleship Back Cliff
Info Freako,7b+,2,G,37,R,Battleship Back Cliff
Rave Mission,7b+,2,G,11,R,Battleship Back Cliff
Trance Mission,7c,2,G,5,R,Battleship Back Cliff
The Racing Line,7b+,2,G,45,R,Battleship Back Cliff
Zinc Oxide Mountain,7b+,3,G,290,R,Battleship Back Cliff
Bending the Rules,7b+,1,G,3,R,Battleship Back Cliff
Right,Right,Right,Right,Right,Right,Battleship Back Cliff
Lost Army Expedition,6c+,1,G,27,R,Battleship Back Cliff
Scapa Flow,6c+,2,G,112,R,Battleship Back Cliff
Koenig Class,7a+,1,G,30,R,Battleship Back Cliff
Raise the Titanic,6b+,1,G,244,R,Battleship Back Cliff
The Price of Silence,6a,2,G,1188,R,Battleship Back Cliff
Wave Dodging,7a,-,G,18,R,Battleship Back Cliff
Sink the Bismarck,6c,1,G,91,R,Battleship Back Cliff
Big Fish,7a,-,G,21,R,Battleship Back Cliff
Wiggi and Mopoke's Excellent New Hilti,5c,1,G,434,R,Battleship Back Cliff
A Dream of White Porsches,5a,1,G,1274,R,Battleship Back Cliff
